




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (4862)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
cellular metabolic process (GO:0044237)	7542	2706	1780.49	+	1.52	1.63E-128	2.58E-124
nitrogen compound metabolic process (GO:0006807)	6886	2474	1625.62	+	1.52	8.30E-111	4.37E-107
primary metabolic process (GO:0044238)	7352	2591	1735.64	+	1.49	6.59E-111	5.21E-107
metabolic process (GO:0008152)	8313	2824	1962.51	+	1.44	3.05E-110	1.20E-106
macromolecule metabolic process (GO:0043170)	6151	2258	1452.11	+	1.55	4.01E-104	1.27E-100
organic substance metabolic process (GO:0071704)	7840	2675	1850.84	+	1.45	7.55E-102	1.99E-98
cellular nitrogen compound metabolic process (GO:0034641)	3395	1469	801.48	+	1.83	1.59E-97	3.59E-94
cellular macromolecule metabolic process (GO:0044260)	4909	1881	1158.90	+	1.62	4.91E-93	9.70E-90
nucleic acid metabolic process (GO:0090304)	2217	1082	523.38	+	2.07	5.75E-91	1.01E-87
nucleobase-containing compound metabolic process (GO:0006139)	2705	1234	638.59	+	1.93	1.94E-90	3.06E-87
heterocycle metabolic process (GO:0046483)	2891	1282	682.50	+	1.88	4.35E-88	6.25E-85
cellular aromatic compound metabolic process (GO:0006725)	2937	1283	693.36	+	1.85	1.21E-84	1.59E-81
organic cyclic compound metabolic process (GO:1901360)	3182	1336	751.20	+	1.78	1.04E-79	1.26E-76
gene expression (GO:0010467)	2117	977	499.77	+	1.95	6.71E-71	7.57E-68
RNA metabolic process (GO:0016070)	1582	798	373.47	+	2.14	2.22E-69	2.34E-66
cellular protein metabolic process (GO:0044267)	3590	1344	847.52	+	1.59	3.01E-55	2.97E-52
G protein-coupled receptor signaling pathway (GO:0007186)	1305	69	308.08	-	.22	1.06E-54	9.88E-52
RNA processing (GO:0006396)	930	517	219.55	+	2.35	3.72E-53	3.26E-50
organelle organization (GO:0006996)	3567	1327	842.09	+	1.58	4.33E-53	3.60E-50
cellular macromolecule biosynthetic process (GO:0034645)	1639	745	386.93	+	1.93	1.20E-50	9.47E-48
organic substance biosynthetic process (GO:1901576)	2803	1087	661.72	+	1.64	1.39E-48	1.05E-45
macromolecule biosynthetic process (GO:0009059)	1680	749	396.61	+	1.89	1.60E-48	1.15E-45
cellular component organization or biogenesis (GO:0071840)	6006	1952	1417.88	+	1.38	2.36E-48	1.62E-45
cellular biosynthetic process (GO:0044249)	2715	1060	640.95	+	1.65	2.61E-48	1.72E-45
biosynthetic process (GO:0009058)	2865	1103	676.36	+	1.63	3.16E-48	2.00E-45
